"ntd_id","state_parent_ntd_id","agency_name","division_department","doing_business_as","reporter_type","reporting_module","organization_type","reported_by_ntd_id","reported_by_name","public_sponsor","subrecipient_type","fy_end_date","original_due_date","address_line_1","address_line_2","p_o_box","city","state","zip_code","zip_code_ext","region","url","fta_recipient_id","ueid","service_area_sq_miles","service_area_pop","primary_uza_uace_code","uza_name","tribal_area_name","population","density","sq_miles","voms_do","voms_pt","total_voms","volunteer_drivers","personal_vehicles","tam_tier","number_of_state_counties","number_of_counties_with","state_admin_funds_expended","street_address_geo_reference"
"31038","3R04","Pike County","Transportation",,"Rural Reporter","Rural","City, County or Local Government Unit or Department of Transportation","3R04","Pennsylvania Department of Transportation",,"Rural General Public Transit","2024-12-31T00:00:00.000","2025-04-30T00:00:00.000","150 Pike County Blvd",,,"Hawley","PA","18428","9107","3","https://www.pikepa.org/living___working/transportation/index.php","1429","FSCYERFHVEM7",,,,"Pennsylvania Non-UZA",,"0","0","0","17",,"17","0","0","Tier II",,,,"POINT (-75.07282 41.39082)"
"31039","3R04","Huntingdon-Bedford-Fulton Area Agency on Aging",,"CART Senior Transportation","Rural Reporter","Rural","Area Agency on Aging","3R04","Pennsylvania Department of Transportation",,"Rural General Public Transit","2024-12-31T00:00:00.000","2025-04-30T00:00:00.000","240 S Wood St",,,"Bedford","PA","15522","1453","3","https://www.hbfaaa.org/cart/","1429","YYQLTUWT7VE5",,,,"Pennsylvania Non-UZA",,"0","0","0","30",,"30","0","0","Tier II",,,,"POINT (-78.49581 40.01654)"
"31040","3R04","Greene County - PA","Greene County Transportation Office",,"Rural Reporter","Rural","City, County or Local Government Unit or Department of Transportation","3R04","Pennsylvania Department of Transportation",,"Rural General Public Transit","2024-12-31T00:00:00.000","2025-04-30T00:00:00.000","93 E High St",,,"Waynesburg","PA","15370","1839","3","https://www.co.greene.pa.us/Department-Transportation-Services","1429","F5NZJQ9JN1T9",,,,"Pennsylvania Non-UZA",,"0","0","0","11",,"11","0","0","Tier II",,,,"POINT (-80.18553 39.89645)"
"31041","3R04","County of Butler",,"Butler Area Rural Transit","Rural Reporter","Rural","City, County or Local Government Unit or Department of Transportation","3R04","Pennsylvania Department of Transportation",,"Rural General Public Transit","2024-12-31T00:00:00.000","2025-04-30T00:00:00.000","124 W Diamond St",,,"Butler","PA","16001","5780","3","https://www.butlercountypa.gov/350/Transportation","1429","CCZ1R4JL2GU4",,,,"Pennsylvania Non-UZA",,"0","0","0",,"18","18","0","0","Tier II",,,,"POINT (-79.89654 40.85844)"
"31042",,"Centre County","Transportation Office",,"Reduced Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","420 Holmes St Ste 242",,,"Bellefonte","PA","16823","1401","3","https://centrecountypa.gov/431/Transportation-Office","1429","TH5FMXLR4NJ5","1107","158172","84493","State College, PA",,"83674","3228.30","25.9","23",,"23",,,"Tier II",,,,"POINT (-77.78229 40.9063)"
"31043","3R04","Chester County","Community Transit","Chesco Connect","Reduced Asset Reporter","Asset","City, County or Local Government Unit or Department of Transportation","3R04","Pennsylvania Department of Transportation",,"Asset Subrecipient","2024-12-31T00:00:00.000","2025-04-30T00:00:00.000","313 W Market St",,,"West Chester","PA","19382","2804","3","https://www.chesco.org/5325/Community-Transit","1429","T77LDMB6L6T6",,,,,,"0","0","0",,,,,,"Tier II",,,,"POINT (-75.60941 39.9575)"
"31044","3R04","Somerset County",,"Somerset County Transportation System","Rural Reporter","Rural","City, County or Local Government Unit or Department of Transportation","3R04","Pennsylvania Department of Transportation",,"Rural General Public Transit","2024-12-31T00:00:00.000","2025-04-30T00:00:00.000","300 N Center Ave Ste 500",,,"Somerset","PA","15501","1472","3","https://tableland.org/Transportation","1429","JLXVEKZ8V3X3",,,,"Pennsylvania Non-UZA",,"0","0","0",,"23","23","0","0","Tier II",,,,"POINT (-79.07857 40.0105)"
"31045","3R04","Susquehanna County",,"Susquehanna-Wyoming County Transportation","Rural Reporter","Rural","City, County or Local Government Unit or Department of Transportation","3R04","Pennsylvania Department of Transportation",,"Rural General Public Transit","2024-12-31T00:00:00.000","2025-04-30T00:00:00.000","31 Lake Ave",,,"Montrose","PA","18801","1022","3","https://trehab.org/susquehanna-wyoming-county-transportation/","1429","G5ZJAY9MVTH1",,,,"Pennsylvania Non-UZA",,"0","0","0",,"23","23","0","0","Tier II",,,,"POINT (-75.87678 41.83434)"
"31046","3R05","Commission On Aging Family Services Inc., The",,,"Reduced Asset Reporter","Asset","Area Agency on Aging","3R05","West Virginia Department of Transportation",,"Asset Subrecipient","2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","111 Virginia Ave",,,"Petersburg","WV","26847","1713","3","https://www.gcscwv.org/",,"EHG9QBQ3ANR9",,,,,,"0","0","0",,,,,,"Tier II",,,,"POINT (-79.12157 38.99297)"
"31047","3R05","Raleigh County Commission on Aging","Transportation",,"Reduced Asset Reporter","Asset","Area Agency on Aging","3R05","West Virginia Department of Transportation",,"Asset Subrecipient","2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","1614 South Kanawha Street",,,"Beckley","WV","25801",,"3","https://raleighseniors.org/transportation/",,"LAV7WH9PBA11",,,,,,"0","0","0",,,,,,"Tier II",,,,"POINT (-81.17012 37.77107)"
"31048","3R05","Greenbrier Co. Committee on Aging, Inc.",,,"Reduced Asset Reporter","Asset","Area Agency on Aging","3R05","West Virginia Department of Transportation",,"Asset Subrecipient","2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","912 Court Street N.",,"556","Lewisburg","WV","24901","2591","3","https://wvdscs.org/senior-centers/greenbrier-county/",,"G1Y2HT7EZJH1",,,,,,"0","0","0",,,,,,"Tier II",,,,"POINT (-80.44188 37.80817)"
"31049","3R05","Hardy County Committee on Aging Inc",,,"Reduced Asset Reporter","Asset","Area Agency on Aging","3R05","West Virginia Department of Transportation",,"Asset Subrecipient","2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","409 Spring Ave",,,"Moorefield","WV","26836","1036","3","https://www.hardycountycoa.org/index.htm",,"YNN9JHK7T3A4",,,,,,"0","0","0",,,,,,"Tier II",,,,"POINT (-78.96103 39.07041)"
"31050","3R05","Council of Senior Tyler Countians Inc",,,"Reduced Asset Reporter","Asset","Area Agency on Aging","3R05","West Virginia Department of Transportation",,"Asset Subrecipient","2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","504 Cherry St",,,"Middlebourne","WV","26149","9618","3","https://www.facebook.com/p/Council-of-Senior-Tyler-Countians-Inc-100070016630516/",,"VCDUGET8MMM5",,,,,,"0","0","0",,,,,,"Tier II",,,,"POINT (-80.9038 39.49655)"
"40001",,"Chattanooga Area Regional Transportation Authority",,,"Full Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","1617 Wilcox Blvd",,,"Chattanooga","TN","37406","4302","4","http://www.gocarta.org/","1120","DTKCV1LY8ZA6","289","187030","15832","Chattanooga, TN--GA",,"398569","1366.40","291.7","76",,"76",,,"Tier I (Rail)",,,,"POINT (-85.2697 35.05617)"
"40002",,"City of Knoxville","Mass Transit","Knoxville Area Transit","Full Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","400 W Main St",,,"Knoxville","TN","37902","2405","4","http://www.katbus.com/","1124","FJEHNN9JALF8","104","192648","45640","Knoxville, TN",,"597257","1382.80","431.9","64",,"64",,,"Tier II",,,,"POINT (-83.91755 35.96127)"
"40003",,"City of Memphis",,"Memphis Area Transit Authority","Full Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-06-30T00:00:00.000",,"1370 Levee Rd",,,"Memphis","TN","38108","1011","4","http://www.matatransit.com/","1125","J1KQCMKJN7U8","254","627200","56116","Memphis, TN--MS--AR",,"1056190","2149.90","491.3","135",,"135",,,"Tier I (Rail)",,,,"POINT (-90.01118 35.1778)"
"40004",,"Metropolitan Transit Authority",,"WeGo Public Transit","Full Reporter","Urban","Independent Public Agency or Authority of Transit Service",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","430 Myatt Dr",,,"Madison","TN","37115","3025","4","https://www.wegotransit.com/","1809","JCKQY7NM1EX1","504","703953","61273","Nashville-Davidson, TN",,"1158642","1980.70","585","196","90","286",,,"Tier I (Fixed Route VOMS)",,,,"POINT (-86.69046 36.27426)"
"40005",,"City of Asheville","Asheville Rides Transit (ART) Transit Division / Department of City","ART (Asheville Rides Transit)","Full Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","70 Court Plz",,,"Asheville","NC","28801","3507","4","http://www.ridetheart.com/","1057","WTHRNPCARBL9","45","95053","03358","Asheville, NC",,"285776","1149.60","248.6",,"19","19",,,"Tier II",,,,"POINT (-82.54882 35.5954)"
"40006",,"Cape Fear Public Transportation Authority",,"Wave Transit","Full Reporter","Urban","Independent Public Agency or Authority of Transit Service",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","505 Cando St",,"12630","Wilmington","NC","28405","3503","4","http://www.wavetransit.com/","1066","ZJGZB1ELAN49","112","191698","95833","Wilmington, NC",,"255329","1795","142.3","19","25","44",,,"Tier II",,,,"POINT (-77.8748 34.25121)"
"40007",,"City of Raleigh","Transit","GoRaleigh","Full Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","222 W Hargett St",,,"Raleigh","NC","27601","1316","4","http://www.raleighnc.gov/transit/","1065","YDYNCVFA9NH4","125","474069","73261","Raleigh, NC",,"1106646","1994.60","554.8",,"264","264",,,"Tier I (Non-Fixed Route VOMS)",,,,"POINT (-78.64256 35.77878)"
"40008",,"City of Charlotte North Carolina","Charlotte Area Transit System",,"Full Reporter","Urban","City, County or Local Government Unit or Department of Transportation",,,,,"2024-06-30T00:00:00.000","2024-10-31T00:00:00.000","600 E 4th St",,,"Charlotte","NC","28202","2816","4","http://www.ridetransit.org","1111","Y84GJESBH8W5","675","1329749","15670","Charlotte, NC--SC",,"1379873","2098.30","657.6","112","175","287",,,"Tier I (Rail)",,,,"POINT (-80.83873 35.22171)"
